z_m,potential_v,electric_field_v_m,charge_c_m3
  1.7534235812E+00,  8.3298338020E-01,  3.1920983114E-01, -1.0069182794E-12
  1.7606980498E+00,  8.3066430457E-01,  3.1838369021E-01, -1.0041736927E-12
  1.7679812375E+00,  8.2834846167E-01,  3.1755881421E-01, -1.0014351422E-12
  1.7752731606E+00,  8.2603585149E-01,  3.1673520173E-01, -9.9870261311E-13
  1.7825738354E+00,  8.2372647404E-01,  3.1591285137E-01, -9.9597609075E-13
  1.7898832784E+00,  8.2142032931E-01,  3.1509176172E-01, -9.9325556048E-13
  1.7972015061E+00,  8.1911741731E-01,  3.1427193138E-01, -9.9054100770E-13
  1.8045285351E+00,  8.1681773803E-01,  3.1345335896E-01, -9.8783241784E-13
  1.8118643819E+00,  8.1452129148E-01,  3.1263604306E-01, -9.8512977639E-13
  1.8192090632E+00,  8.1222807765E-01,  3.1181998230E-01, -9.8243306885E-13
  1.8265625956E+00,  8.0993809654E-01,  3.1100517528E-01, -9.7974228081E-13
  1.8339249961E+00,  8.0765134816E-01,  3.1019162062E-01, -9.7705739785E-13
  1.8412962814E+00,  8.0536783250E-01,  3.0937931695E-01, -9.7437840562E-13
  1.8486764684E+00,  8.0308754957E-01,  3.0856826288E-01, -9.7170528980E-13
  1.8560655740E+00,  8.0081049936E-01,  3.0775845703E-01, -9.6903803612E-13
  1.8634636153E+00,  7.9853668187E-01,  3.0694989805E-01, -9.6637663034E-13
  1.8708706093E+00,  7.9626609711E-01,  3.0614258455E-01, -9.6372105828E-13
  1.8782865731E+00,  7.9399874508E-01,  3.0533651518E-01, -9.6107130576E-13
  1.8857115240E+00,  7.9173462577E-01,  3.0453168857E-01, -9.5842735869E-13
  1.8931454791E+00,  7.8947373918E-01,  3.0372810336E-01, -9.5578920298E-13
  1.9005884558E+00,  7.8721608532E-01,  3.0292575820E-01, -9.5315682460E-13
  1.9080404714E+00,  7.8496166418E-01,  3.0212465174E-01, -9.5053020955E-13
  1.9155015434E+00,  7.8271047577E-01,  3.0132478262E-01, -9.4790934388E-13
  1.9229716892E+00,  7.8046252008E-01,  3.0052614950E-01, -9.4529421367E-13
  1.9304509264E+00,  7.7821779711E-01,  2.9972875104E-01, -9.4268480505E-13
  1.9379392725E+00,  7.7597630687E-01,  2.9893258589E-01, -9.4008110417E-13
  1.9454367453E+00,  7.7373804935E-01,  2.9813765271E-01, -9.3748309725E-13
  1.9529433624E+00,  7.7150302456E-01,  2.9734395018E-01, -9.3489077051E-13
  1.9604591418E+00,  7.6927123249E-01,  2.9655147697E-01, -9.3230411024E-13
  1.9679841011E+00,  7.6704267315E-01,  2.9576023173E-01, -9.2972310275E-13
