z_m,potential_v,electric_field_v_m,charge_c_m3
  1.4334143951E+00,  2.1545124631E+00,  8.5065500326E-01, -2.9517732645E-12
  1.4409936006E+00,  2.1480747364E+00,  8.4813343633E-01, -2.9397340450E-12
  1.4485854910E+00,  2.1416453555E+00,  8.4561795025E-01, -2.9277454764E-12
  1.4561900875E+00,  2.1352243205E+00,  8.4310852913E-01, -2.9158073192E-12
  1.4638074110E+00,  2.1288116311E+00,  8.4060515713E-01, -2.9039193349E-12
  1.4714374827E+00,  2.1224072876E+00,  8.3810781845E-01, -2.8920812862E-12
  1.4790803236E+00,  2.1160112899E+00,  8.3561649737E-01, -2.8802929372E-12
  1.4867359550E+00,  2.1096236379E+00,  8.3313117819E-01, -2.8685540533E-12
  1.4944043982E+00,  2.1032443317E+00,  8.3065184530E-01, -2.8568644009E-12
  1.5020856744E+00,  2.0968733713E+00,  8.2817848312E-01, -2.8452237479E-12
  1.5097798051E+00,  2.0905107567E+00,  8.2571107613E-01, -2.8336318632E-12
  1.5174868117E+00,  2.0841564878E+00,  8.2324960886E-01, -2.8220885170E-12
  1.5252067156E+00,  2.0778105647E+00,  8.2079406590E-01, -2.8105934809E-12
  1.5329395385E+00,  2.0714729875E+00,  8.1834443188E-01, -2.7991465275E-12
  1.5406853020E+00,  2.0651437560E+00,  8.1590069150E-01, -2.7877474306E-12
  1.5484440276E+00,  2.0588228702E+00,  8.1346282951E-01, -2.7763959653E-12
  1.5562157372E+00,  2.0525103303E+00,  8.1103083069E-01, -2.7650919077E-12
  1.5640004526E+00,  2.0462061361E+00,  8.0860467990E-01, -2.7538350353E-12
  1.5717981955E+00,  2.0399102877E+00,  8.0618436203E-01, -2.7426251267E-12
  1.5796089879E+00,  2.0336227851E+00,  8.0376986204E-01, -2.7314619616E-12
  1.5874328518E+00,  2.0273436283E+00,  8.0136116492E-01, -2.7203453209E-12
  1.5952698092E+00,  2.0210728173E+00,  7.9895825574E-01, -2.7092749866E-12
  1.6031198822E+00,  2.0148103520E+00,  7.9656111961E-01, -2.6982507421E-12
  1.6109830929E+00,  2.0085562325E+00,  7.9416974166E-01, -2.6872723715E-12
  1.6188594636E+00,  2.0023104588E+00,  7.9178410712E-01, -2.6763396604E-12
  1.6267490165E+00,  1.9960730309E+00,  7.8940420123E-01, -2.6654523953E-12
  1.6346517740E+00,  1.9898439488E+00,  7.8703000932E-01, -2.6546103641E-12
  1.6425677585E+00,  1.9836232124E+00,  7.8466151672E-01, -2.6438133555E-12
  1.6504969924E+00,  1.9774108219E+00,  7.8229870886E-01, -2.6330611594E-12
  1.6584394982E+00,  1.9712067771E+00,  7.7994157118E-01, -2.6223535669E-12
  1.6663952986E+00,  1.9650110781E+00,  7.7759008920E-01, -2.6116903702E-12
  1.6743644162E+00,  1.9588237248E+00,  7.7524424848E-01, -2.6010713624E-12
  1.6823468736E+00,  1.9526447174E+00,  7.7290403461E-01, -2.5904963378E-12
  1.6903426938E+00,  1.9464740557E+00,  7.7056943325E-01, -2.5799650919E-12
  1.6983518994E+00,  1.9403117398E+00,  7.6824043010E-01, -2.5694774210E-12
  1.7063745135E+00,  1.9341577697E+00,  7.6591701092E-01, -2.5590331227E-12
  1.7144105590E+00,  1.9280121454E+00,  7.6359916151E-01, -2.5486319956E-12
  1.7224600590E+00,  1.9218748668E+00,  7.6128686771E-01, -2.5382738392E-12
  1.7305230364E+00,  1.9157459341E+00,  7.5898011542E-01, -2.5279584543E-12
  1.7385995145E+00,  1.9096253471E+00,  7.5667889059E-01, -2.5176856425E-12
  1.7466895166E+00,  1.9035131059E+00,  7.5438317921E-01, -2.5074552067E-12
  1.7547930659E+00,  1.8974092105E+00,  7.5209296731E-01, -2.4972669504E-12
  1.7629101857E+00,  1.8913136608E+00,  7.4980824099E-01, -2.4871206786E-12
  1.7710408996E+00,  1.8852264570E+00,  7.4752898637E-01, -2.4770161971E-12
  1.7791852309E+00,  1.8791475989E+00,  7.4525518965E-01, -2.4669533126E-12
  1.7873432034E+00,  1.8730770866E+00,  7.4298683704E-01, -2.4569318330E-12
  1.7955148405E+00,  1.8670149200E+00,  7.4072391483E-01, -2.4469515671E-12
  1.8037001659E+00,  1.8609610993E+00,  7.3846640933E-01, -2.4370123248E-12
  1.8118992036E+00,  1.8549156244E+00,  7.3621430691E-01, -2.4271139167E-12
  1.8201119772E+00,  1.8488784952E+00,  7.3396759399E-01, -2.4172561547E-12
  1.8283385107E+00,  1.8428497118E+00,  7.3172625703E-01, -2.4074388516E-12
