z_m,potential_v,electric_field_v_m,charge_c_m3
  3.8605925833E+00, -3.0760702222E+00, -2.6587536698E-01,  1.6947111168E-13
  3.8877658738E+00, -3.0688525793E+00, -2.6535535441E-01,  1.6941178144E-13
  3.9149604995E+00, -3.0616434141E+00, -2.6483512092E-01,  1.6934910639E-13
  3.9421765665E+00, -3.0544427265E+00, -2.6431467499E-01,  1.6928313371E-13
  3.9694141808E+00, -3.0472505166E+00, -2.6379402498E-01,  1.6921390975E-13
  3.9966734482E+00, -3.0400667842E+00, -2.6327317913E-01,  1.6914148002E-13
  4.0239544744E+00, -3.0328915295E+00, -2.6275214559E-01,  1.6906588921E-13
  4.0512573648E+00, -3.0257247525E+00, -2.6223093237E-01,  1.6898718123E-13
  4.0785822248E+00, -3.0185664530E+00, -2.6170954742E-01,  1.6890539920E-13
  4.1059291594E+00, -3.0114166312E+00, -2.6118799854E-01,  1.6882058549E-13
  4.1332982737E+00, -3.0042752871E+00, -2.6066629345E-01,  1.6873278173E-13
  4.1606896727E+00, -2.9971424205E+00, -2.6014443979E-01,  1.6864202883E-13
  4.1881034610E+00, -2.9900180316E+00, -2.5962244506E-01,  1.6854836700E-13
  4.2155397433E+00, -2.9829021203E+00, -2.5910031671E-01,  1.6845183574E-13
  4.2429986242E+00, -2.9757946867E+00, -2.5857806206E-01,  1.6835247389E-13
  4.2704802079E+00, -2.9686957307E+00, -2.5805568835E-01,  1.6825031966E-13
  4.2979845990E+00, -2.9616052523E+00, -2.5753320274E-01,  1.6814541058E-13
  4.3255119015E+00, -2.9545232515E+00, -2.5701061228E-01,  1.6803778356E-13
  4.3530622197E+00, -2.9474497284E+00, -2.5648792395E-01,  1.6792747491E-13
  4.3806356575E+00, -2.9403846829E+00, -2.5596514464E-01,  1.6781452034E-13
  4.4082323189E+00, -2.9333281150E+00, -2.5544228116E-01,  1.6769895496E-13
  4.4358523079E+00, -2.9262800248E+00, -2.5491934023E-01,  1.6758081332E-13
  4.4634957283E+00, -2.9192404122E+00, -2.5439632848E-01,  1.6746012940E-13
  4.4911626839E+00, -2.9122092772E+00, -2.5387325248E-01,  1.6733693664E-13
  4.5188532785E+00, -2.9051866198E+00, -2.5335011872E-01,  1.6721126794E-13
  4.5465676156E+00, -2.8981724401E+00, -2.5282693359E-01,  1.6708315567E-13
  4.5743057990E+00, -2.8911667381E+00, -2.5230370343E-01,  1.6695263171E-13
  4.6020679324E+00, -2.8841695136E+00, -2.5178043450E-01,  1.6681972741E-13
  4.6298541192E+00, -2.8771807668E+00, -2.5125713297E-01,  1.6668447364E-13
  4.6576644630E+00, -2.8702004976E+00, -2.5073380497E-01,  1.6654690079E-13
  4.6854990674E+00, -2.8632287060E+00, -2.5021045652E-01,  1.6640703878E-13
  4.7133580360E+00, -2.8562653921E+00, -2.4968709361E-01,  1.6626491707E-13
  4.7412414723E+00, -2.8493105558E+00, -2.4916372212E-01,  1.6612056465E-13
  4.7691494797E+00, -2.8423641971E+00, -2.4864034791E-01,  1.6597401011E-13
  4.7970821619E+00, -2.8354263161E+00, -2.4811697674E-01,  1.6582528156E-13
  4.8250396223E+00, -2.8284969127E+00, -2.4759361431E-01,  1.6567440672E-13
  4.8530219646E+00, -2.8215759869E+00, -2.4707026628E-01,  1.6552141288E-13
  4.8810292922E+00, -2.8146635388E+00, -2.4654693820E-01,  1.6536632692E-13
  4.9090617089E+00, -2.8077595683E+00, -2.4602363561E-01,  1.6520917534E-13
  4.9371193182E+00, -2.8008640754E+00, -2.4550036396E-01,  1.6504998422E-13
  4.9652022238E+00, -2.7939770601E+00, -2.4497712864E-01,  1.6488877930E-13
  4.9933105293E+00, -2.7870985225E+00, -2.4445393500E-01,  1.6472558590E-13
  5.0214443386E+00, -2.7802284625E+00, -2.4393078831E-01,  1.6456042900E-13
  5.0496037553E+00, -2.7733668801E+00, -2.4340769380E-01,  1.6439333321E-13
  5.0777888834E+00, -2.7665137754E+00, -2.4288465663E-01,  1.6422432280E-13
  5.1059998268E+00, -2.7596691483E+00, -2.4236168192E-01,  1.6405342166E-13
  5.1342366893E+00, -2.7528329988E+00, -2.4183877472E-01,  1.6388065339E-13
  5.1624995751E+00, -2.7460053270E+00, -2.4131594004E-01,  1.6370604122E-13
  5.1907885882E+00, -2.7391861328E+00, -2.4079318283E-01,  1.6352960806E-13
  5.2191038327E+00, -2.7323754162E+00, -2.4027050799E-01,  1.6335137651E-13
  5.2474454130E+00, -2.7255731773E+00, -2.3974792037E-01,  1.6317136885E-13
  5.2758134333E+00, -2.7187794160E+00, -2.3922542477E-01,  1.6298960705E-13
  5.3042079981E+00, -2.7119941323E+00, -2.3870302594E-01,  1.6280611279E-13
  5.3326292119E+00, -2.7052173262E+00, -2.3818072858E-01,  1.6262090743E-13
  5.3610771793E+00, -2.6984489978E+00, -2.3765853734E-01,  1.6243401205E-13
  5.3895520049E+00, -2.6916891470E+00, -2.3713645683E-01,  1.6224544747E-13
